time, node0_(3), node0_(2), node1_(3), node1_(2), node2_(3), node2_(2), node3_(3), node3_(2)
0, 0, 0, 0, 0, 0, 0, 0, 0
1, 2, 2, 0, 0, 0, 0, 0, 0
2, 3, 3, 0, 0, 0, 0, 0, 0
3, 5, 5, 0, 0, 0, 0, 0, 0
4, 5, 5, 0, 0, 0, 0, 0, 0
5, 5, 5, 0, 0, 0, 0, 0, 0
6, 5, 5, 0, 0, 0, 0, 0, 0
7, 6, 6, 0, 0, 0, 0, 0, 0
8, 6, 6, 0, 0, 0, 0, 0, 0
9, 6, 6, 0, 0, 0, 0, 0, 0
10, 7, 7, 0, 0, 0, 0, 0, 0
11, 8, 8, 0, 0, 0, 0, 0, 0
12, 10, 10, 0, 0, 0, 0, 0, 0
13, 11, 11, 0, 0, 0, 0, 0, 0
14, 12, 12, 0, 0, 0, 0, 0, 0
15, 14, 14, 0, 0, 0, 0, 0, 0
16, 15, 15, 0, 0, 0, 0, 0, 0
17, 16, 16, 0, 0, 0, 0, 0, 0
18, 16, 16, 0, 0, 0, 0, 0, 0
19, 16, 16, 0, 0, 0, 0, 0, 0
20, 17, 17, 0, 0, 0, 0, 0, 0
21, 18, 18, 0, 0, 0, 0, 0, 0
22, 19, 19, 0, 0, 0, 0, 0, 0
23, 21, 21, 0, 0, 0, 0, 0, 0
24, 21, 21, 0, 0, 0, 0, 0, 0
25, 22, 22, 0, 0, 0, 0, 0, 0
26, 22, 22, 0, 0, 0, 0, 0, 0
27, 23, 23, 0, 0, 0, 0, 0, 0
28, 23, 23, 0, 0, 0, 0, 0, 0
29, 26, 26, 0, 0, 0, 0, 0, 0
30, 27, 27, 0, 0, 0, 0, 0, 0
31, 27, 27, 0, 0, 0, 0, 0, 0
32, 28, 28, 0, 0, 0, 0, 0, 0
33, 30, 22, 0, 4, 0, 4, 0, 0
34, 30, 14, 0, 8, 0, 8, 0, 0
35, 31, 15, 0, 8, 0, 8, 0, 0
36, 33, 17, 0, 8, 0, 8, 0, 0
37, 36, 20, 0, 8, 0, 8, 0, 0
38, 36, 20, 0, 8, 0, 8, 0, 0
39, 36, 20, 0, 8, 0, 8, 0, 0
